company,vacancy_count,share
AutoForm Development GmbH,2,0.0004
Axia AG,2,0.0004
Axians IT Services AG,2,0.0004
Axians Somnitec AG,2,0.0004
Axians in Switzerland,2,0.0004
Axpo Systems AG,2,0.0004
B. Braun Medical AG,2,0.0004
BCIC Swiss GmBH | Best Connect International Company,2,0.0004
BOLL Engineering AG,2,0.0004
BSW SECURITY AG,2,0.0004
BVK Personalvorsorge des Kantons Zürich,2,0.0004
Bank-now,2,0.0004
Batterman Consulting Basel AG,2,0.0004
Bavarian Nordic Berna GmbH,2,0.0004
"Bechtle Schweiz AG, Onsite Services",2,0.0004
Bechtle Switzerland,2,0.0004
Berner Fachhochschule BFH,2,0.0004
Bertrandt Group,2,0.0004
BitHawk AG,2,0.0004
Boehringer Ingelheim (Schweiz) GmbH,2,0.0004
Bundesamt für Statistik BFS,2,0.0004
Burckhardt Architektur AG,2,0.0004
Burkhalter Group,2,0.0004
Burkhalter Technics AG,2,0.0004
CHANEL,2,0.0004
CLEEVEN,2,0.0004
CMSA Management SA,2,0.0004
CNT Management Consulting,2,0.0004
CSD,2,0.0004
Cartier,2,0.0004
Casale SA,2,0.0004
Cenit (Schweiz) AG,2,0.0004
Central Compensation Office CCO,2,0.0004
Cerrion,2,0.0004
Chaberton Professionals,2,0.0004
Chipmind,2,0.0004
Citi,2,0.0004
Citrix,2,0.0004
Coca-Cola HBC Schweiz AG,2,0.0004
Consulteer AG,2,0.0004
ControlTech Engineering AG,2,0.0004
Coop,2,0.0004
Cornell University,2,0.0004
Crans-Montana Food & Beverage SA,2,0.0004
D ONE Value Creation AG,2,0.0004
DXC Technology,2,0.0004
Data Migration International AG,2,0.0004
Databricks,2,0.0004
Decentriq,2,0.0004
Destinus,2,0.0004
Dexion Services AG,2,0.0004
Dietrich engineering consultants S.A.,2,0.0004
Digital Architects Zurich,2,0.0004
Docpier,2,0.0004
Dottikon Exclusive Synthesis AG,2,0.0004
Dreier AG,2,0.0004
ERNE AG Holzbau,2,0.0004
EXPERTsuisse AG,2,0.0004
Ecolab,2,0.0004
Eidgenössische Finanzmarktaufsicht FINMA,2,0.0004
Elize Partners,2,0.0004
Emmi Schweiz AG,2,0.0004
EnableMe Foundation,2,0.0004
Endress+Hauser Group,2,0.0004
Enerconom AG,2,0.0004
Energie Wasser Bern,2,0.0004
Ente Ospedaliero Cantonale (EOC),2,0.0004
Equans Switzerland,2,0.0004
EveryWare AG,2,0.0004
Exeon Analytics AG,2,0.0004
Fachkraft.ch GmbH,2,0.0004
Faigle AG,2,0.0004
"Federal Department of Defence, Civil Protection and Sport DDPS",2,0.0004
Fides Treasury Services,2,0.0004
FinTeX Finance and Technology eXpertise SA,2,0.0004
Flexdental Services SA,2,0.0004
Flexsis,2,0.0004
Flyability SA,2,0.0004
Flying Teachers GmbH,2,0.0004
Forschungsstiftung für Informationstechnologie und Gesellschaft,2,0.0004
Frontify,2,0.0004
Fust | Swiss Household Services AG,2,0.0004
GEOWERKSTATT GmbH,2,0.0004
GLANDON Apartments AG,2,0.0004
GSI Consultants GmbH,2,0.0004
GSK,2,0.0004
GULP Schweiz AG,2,0.0004
GXP CONSULTING Switzerland,2,0.0004
Gemeinde Teufen,2,0.0004
Gemeinsame Einrichtung KVG,2,0.0004
Genesys,2,0.0004
Georg Fischer,2,0.0004
GetYourGuide AG,2,0.0004
Gi Group,2,0.0004
Gi Life Sciences Basel,2,0.0004
Givaudan,2,0.0004
Glarner Kantonalbank,2,0.0004
Gomringer & Partner GmbH,2,0.0004
Google DeepMind,2,0.0004
Gravis Robotics,2,0.0004
Grossenbacher Systeme AG,2,0.0004
Groupe E SA,2,0.0004
Groupe Mutuel,2,0.0004
HERMEX AG,2,0.0004
HUBER+SUHNER AG,2,0.0004
Hach,2,0.0004
Hamilton Medical,2,0.0004
Hamilton Medical AG,2,0.0004
Heizmann AG,2,0.0004
Herbert Ospelt Anstalt (Verwaltung),2,0.0004
Herzog Küchen AG,2,0.0004
Heule Werkzeug AG,2,0.0004
HolidayCheck,2,0.0004
Hoval AG,2,0.0004
Hypothekarbank Lenzburg AG,2,0.0004
IC Resources,2,0.0004
IMC Trading,2,0.0004
IMD AG,2,0.0004
INACTA,2,0.0004
INP Schweiz AG,2,0.0004
ITConcepts Switzerland,2,0.0004
ITRIS Management AG,2,0.0004
Ikerian AG,2,0.0004
Inetum,2,0.0004
Infomaniak Network SA,2,0.0004
"Infosystem AG, Wil",2,0.0004
Ingram Micro GmbH,2,0.0004
International Service Group (Schweiz) GmbH,2,0.0004
Intersys AG,2,0.0004
Ivoclar Vivadent AG,2,0.0004
J. Safra Sarasin,2,0.0004
Jagaad,2,0.0004
Johnson & Johnson AG,2,0.0004
Justitia 4.0,2,0.0004
KARL STORZ Endoskop Produktions GmbH,2,0.0004
KEYTEO,2,0.0004
KM - Pilgram Management Consulting,2,0.0004
KPT - Die Krankenkasse mit dem Plus,2,0.0004
Kantar Switzerland AG,2,0.0004
Kanton Solothurn,2,0.0004
Kantonale Verwaltung Basel-Landschaft,2,0.0004
Kantonale Verwaltung Schwyz,2,0.0004
Kantonale Verwaltung Zug,2,0.0004
Kantonsspital Graubünden,2,0.0004
Kaulquappe AG,2,0.0004
Keysight Technologies,2,0.0004
Kudelski Security,2,0.0004
Körber Pharma,2,0.0004
Körber Supply Chain AG,2,0.0004
L'OCCITANE Group (B Corp),2,0.0004
L.E.S.S. SA,2,0.0004
LANDERT Group AG,2,0.0004
LANDI Schweiz AG,2,0.0004
LB&Partners SA,2,0.0004
LEM Surgical AG,2,0.0004
LGT Bank AG,2,0.0004
LYO-X AG,2,0.0004
Lakera,2,0.0004
Leantin AG,2,0.0004
Leclanché SA,2,0.0004
Leclanché e-Mobility SA,2,0.0004
Leuchter IT Solutions AG,2,0.0004
Liebherr Machines Bulle SA,2,0.0004
Lightium,2,0.0004
Livit AG,2,0.0004
Logjob AG - For Supply Chain Experts,2,0.0004
Lonza Group AG,2,0.0004
Loomis,2,0.0004
Loomis Schweiz AG,2,0.0004
Loomis Schweiz AG Kloten,2,0.0004
Losinger Marazzi SA,2,0.0004
Luota AG,2,0.0004
Lyceum,2,0.0004
Läderach,2,0.0004
Läderach (Schweiz) AG,2,0.0004
Löwenfels Partner AG,2,0.0004
M-Industrie,2,0.0004
MANTU GROUP SA,2,0.0004
MEGGITT SA,2,0.0004
Machine Learning Architects Basel (MLAB),2,0.0004
Manufact (YC S25),2,0.0004
Martin Engineering AG,2,0.0004
McKinsey & Company,2,0.0004
Mettler Toledo,2,0.0004
Migros Bank AG,2,0.0004
"Mikron Switzerland AG, Zweigniederlassung Agno, Tool",2,0.0004
Mirabaud Group,2,0.0004
Mobility Cooperative,2,0.0004
My Sherpa,2,0.0004
NAGRA,2,0.0004
NUM AG,2,0.0004
Netkum AG,2,0.0004
Netsafe AG,2,0.0004
"NewWave Telecom & Technologies, Inc.",2,0.0004
NielsenIQ,2,0.0004
Noser Engineering AG,2,0.0004
Novotec Engineering AG,2,0.0004
OTTO'S AG,2,0.0004
Object ECM AG,2,0.0004
On,2,0.0004
OneDoc,2,0.0004
Oneconsult AG,2,0.0004
Optiml,2,0.0004
Orange Business Switzerland AG,2,0.0004
Orderfox Schweiz AG,2,0.0004
Orion Rechtsschutz-Versicherung AG,2,0.0004
Overstory,2,0.0004
PHOENIQS,2,0.0004
PIDAS Aktiengesellschaft,2,0.0004
PLAIN IT AG,2,0.0004
ParetoLabs,2,0.0004
Peoplefone AG,2,0.0004
Perk,2,0.0004
Peter Park System GmbH,2,0.0004
Pictet Group,2,0.0004
Pilatus Aircraft Ltd,2,0.0004
Pilatus-Bahnen AG,2,0.0004
PrimeIT Switzerland,2,0.0004
Primeo Energie,2,0.0004
PrismaLife AG,2,0.0004
ProfiLogic AG,2,0.0004
Pronovo AG,2,0.0004
Proofpoint,2,0.0004
Publicare AG,2,0.0004
Pure ICT AG,2,0.0004
QACube,2,0.0004
QESTIT DACH,2,0.0004
QSC,2,0.0004
Quantum Digital,2,0.0004
