company,vacancy_count,share
Smile Versicherung,2,0.0004
SoFi,2,0.0004
Sonepar International Services SA,2,0.0004
Sonepar Suisse AG,2,0.0004
SpeciTec SA,2,0.0004
Spotted,2,0.0004
St. Galler Kantonalbank,2,0.0004
St.Galler Stadtwerke,2,0.0004
StackWorks GmbH,2,0.0004
Stadt Bülach,2,0.0004
Stanzwerk AG,2,0.0004
Stettler Consulting AG,2,0.0004
Stiftung Heilsarmee Schweiz,2,0.0004
Stiftung für die Inter-Community School,2,0.0004
Stöcklin Logistik Group,2,0.0004
Supsign AG,2,0.0004
Swisscard AECS GmbH,2,0.0004
Swistec Systems AG,2,0.0004
Sygnum Bank,2,0.0004
Sympany,2,0.0004
Synchrotech SA,2,0.0004
Syngenta Crop Protection,2,0.0004
Synotis,2,0.0004
Syntegon,2,0.0004
SystemsAccountants,2,0.0004
